customer_id,customer_name,city,signup_date,email
1,Customer_001,Dhule,2024-08-28,customer001@mail.com
2,Customer_002,Nashik,2023-02-09,customer002@mail.com
3,Customer_003,Delhi,2022-02-19,customer003@mail.com
4,Customer_004,Mumbai,2024-04-20,customer004@mail.com
5,Customer_005,Bengaluru,2022-04-07,customer005@mail.com
6,Customer_006,,2023-08-20,customer006@mail.com
7,Customer_007,Pune,2024-07-20,customer007@mail.com
8,Customer_008,Bengaluru,2022-08-08,invalid_email
9,Customer_009,Pune,2022-03-30,customer009@mail.com
10,Customer_010,Kolhapur,2023-03-05,customer010@mail.com
11,Customer_011,Mumbai,2022-09-04,customer011@mail.com
12,Customer_012,Mumbai,2023-07-19,customer012@mail.com
13,Customer_013,Kolhapur,2022-03-02,customer013@mail.com
14,Customer_014,Hyderabad,2022-05-07,customer014@mail.com
15,Customer_015,Nagpur,2023-10-08,customer015@mail.com
16,Customer_016,Delhi,2023-08-20,customer016@mail.com
17,Customer_017,Pune,2023-08-14,customer017@mail.com
18,Customer_018,Hyderabad,2023-02-11,customer018@mail.com
19,Customer_019,Pune,2024-09-26,customer019@mail.com
20,Customer_020,Nagpur,2022-02-17,customer020@mail.com
21,Customer_021,Bengaluru,2024-05-29,customer021@mail.com
22,Customer_022,Nashik,2022-10-24,customer022@mail.com
23,Customer_023,Kolhapur,2022-05-28,customer023@mail.com
24,Customer_024,Bengaluru,2022-05-01,customer024@mail.com
25,Customer_025,Hyderabad,2022-11-12,customer025@mail.com
26,Customer_026,Bengaluru,2024-04-15,customer026@mail.com
27,Customer_027,Delhi,2022-07-05,customer027@mail.com
28,Customer_028,Mumbai,2023-08-19,customer028@mail.com
29,Customer_029,Hyderabad,2023-10-17,customer029@mail.com
30,Customer_030,Nagpur,2023-01-17,customer030@mail.com
31,Customer_031,Mumbai,2023-07-15,customer031@mail.com
32,Customer_032,Chennai,2022-03-06,customer032@mail.com
33,Customer_033,Hyderabad,2022-03-03,customer033@mail.com
34,Customer_034,Hyderabad,2022-07-30,customer034@mail.com
35,Customer_035,Thane,2023-11-28,customer035@mail.com
36,Customer_036,Bengaluru,2023-03-14,customer036@mail.com
37,Customer_037,Dhule,2023-04-22,customer037@mail.com
38,Customer_038,Hyderabad,2024-08-03,customer038@mail.com
39,Customer_039,Thane,2023-01-06,customer039@mail.com
40,Customer_040,Aurangabad,2022-09-12,customer040@mail.com
41,Customer_041,Nashik,2023-12-17,customer041@mail.com
42,Customer_042,Nagpur,2022-03-25,customer042@mail.com
43,Customer_043,Hyderabad,2022-11-04,customer043@mail.com
44,Customer_044,Bengaluru,2023-05-22,customer044@mail.com
45,Customer_045,Dhule,2024-01-17,customer045@mail.com
46,Customer_046,Thane,2022-10-22,customer046@mail.com
47,Customer_047,Hyderabad,2022-03-16,customer047@mail.com
48,Customer_048,Mumbai,2023-06-09,customer048@mail.com
49,Customer_049,Kolhapur,2022-06-18,customer049@mail.com
50,Customer_050,Dhule,2022-06-05,customer050@mail.com
51,Customer_051,Thane,2023-03-08,customer051@mail.com
52,Customer_052,Pune,2024-09-12,customer052@mail.com
53,Customer_053,Delhi,2022-03-21,customer053@mail.com
54,Customer_054,Bengaluru,2023-08-10,customer054@mail.com
55,Customer_055,Dhule,2022-12-15,customer055@mail.com
56,Customer_056,Chennai,2022-12-25,customer056@mail.com
57,Customer_057,Hyderabad,2023-05-24,customer057@mail.com
58,Customer_058,Hyderabad,2024-03-27,customer058@mail.com
59,Customer_059,Thane,2022-03-12,customer059@mail.com
60,Customer_060,Mumbai,2024-08-25,customer060@mail.com
61,Customer_061,Aurangabad,2023-05-01,customer061@mail.com
62,Customer_062,Chennai,2023-11-12,customer062@mail.com
63,Customer_063,Mumbai,2022-03-04,customer063@mail.com
64,Customer_064,Chennai,2023-12-20,customer064@mail.com
65,Customer_065,Aurangabad,2023-10-25,customer065@mail.com
66,Customer_066,Hyderabad,2023-11-29,customer066@mail.com
67,Customer_067,Thane,2022-10-19,customer067@mail.com
68,Customer_068,Chennai,2023-01-31,customer068@mail.com
69,Customer_069,Delhi,2022-12-22,customer069@mail.com
70,Customer_070,Pune,2024-08-21,customer070@mail.com
71,Customer_071,Thane,2022-12-30,customer071@mail.com
72,Customer_072,Nashik,2023-09-18,customer072@mail.com
73,Customer_073,Mumbai,2023-05-21,customer073@mail.com
74,Customer_074,Pune,2022-08-12,customer074@mail.com
75,Customer_075,Aurangabad,2022-05-13,customer075@mail.com
76,Customer_076,Chennai,2022-09-11,customer076@mail.com
77,Customer_077,Kolhapur,2023-02-05,customer077@mail.com
78,Customer_078,Thane,2022-03-24,customer078@mail.com
79,Customer_079,Nashik,2023-04-05,customer079@mail.com
80,Customer_080,Kolhapur,2023-07-17,customer080@mail.com
81,Customer_081,Aurangabad,2024-06-23,customer081@mail.com
82,Customer_082,Nashik,2024-04-18,customer082@mail.com
83,Customer_083,Kolhapur,2024-06-03,customer083@mail.com
84,Customer_084,Bengaluru,2022-10-13,customer084@mail.com
85,Customer_085,Chennai,2023-03-02,customer085@mail.com
86,Customer_086,Dhule,2023-12-01,customer086@mail.com
87,Customer_087,Kolhapur,2024-09-07,customer087@mail.com
88,Customer_088,Nagpur,2022-06-04,customer088@mail.com
89,Customer_089,Mumbai,2022-06-30,customer089@mail.com
90,Customer_090,Nashik,2022-08-26,customer090@mail.com
91,Customer_091,Delhi,2022-08-27,customer091@mail.com
92,Customer_092,Pune,2023-05-12,customer092@mail.com
93,Customer_093,Hyderabad,2022-07-06,customer093@mail.com
94,Customer_094,Aurangabad,2022-10-16,customer094@mail.com
95,Customer_095,Pune,2022-05-30,customer095@mail.com
96,Customer_096,Kolhapur,2023-07-02,customer096@mail.com
97,Customer_097,Dhule,2023-09-17,customer097@mail.com
